Date,Team,Opponent,Pitcher,Predicted_Ks,Actual_Ks
2025-06-09,MIL,ATL,Aaron Civale,5.1,5
2025-06-13,CHW,TEX,Adrian Houser,5.16,2
2025-06-09,STL,TOR,Andre Pallante,3.02,3
2025-06-10,CIN,CLE,Andrew Abbott,5.09,5
2025-06-12,PIT,CHC,Andrew Heaney,5.15,7
2025-06-12,COL,SFG,Antonio Senzatela,2.5,2
2025-06-11,PIT,MIA,Bailey Falter,2.08,3
2025-06-12,MIN,TEX,Bailey Ober,3.64,3
2025-06-11,CHC,PHI,Ben Brown,7.7,5
2025-06-11,LAD,SDP,Ben Casparius,1.47,2
2025-06-10,ARI,SEA,Brandon Pfaadt,1.94,4
2025-06-09,BOS,TBR,Brayan Bello,3.06,4
2025-06-11,SEA,ARI,Bryan Woo,3.61,3
2025-06-13,CHC,PIT,Cade Horton,4.66,4
2025-06-10,BAL,DET,Cade Povich,5.99,6
2025-06-11,MIA,PIT,Cal Quantrill,5.12,6
2025-06-10,COL,SFG,Carson Palmquist,3.6,2
2025-06-11,DET,BAL,Casey Mize,4.82,7
2025-06-11,MIL,ATL,Chad Patrick,6.46,8
2025-06-13,BAL,LAA,Charlie Morton,8.35,10
2025-06-10,TOR,STL,Chris Bassitt,4.54,3
2025-06-13,MIN,HOU,Chris Paddack,4.36,1
2025-06-09,ATL,MIL,Chris Sale,10.62,11
2025-06-11,NYY,KCR,Clarke Schmidt,7.62,7
2025-06-13,NYM,TBR,Clay Holmes,4.0,3
2025-06-10,CHC,PHI,Colin Rea,2.84,5
2025-06-13,HOU,MIN,Colton Gordon,5.5,5
2025-06-11,MIN,TEX,David Festa,4.88,4
2025-06-11,NYM,WSN,David Peterson,6.49,6
2025-06-12,CHW,HOU,Davis Martin,5.26,5
2025-06-12,BAL,DET,Dean Kremer,5.76,8
2025-06-09,LAD,SDP,Dustin May,2.56,1
2025-06-10,SDP,LAD,Dylan Cease,8.88,11
2025-06-11,ARI,SEA,Eduardo Rodríguez,4.85,5
2025-06-09,SEA,ARI,Emerson Hancock,3.75,3
2025-06-11,TOR,STL,Eric Lauer,2.75,4
2025-06-13,STL,MIL,Erick Fedde,3.85,5
2025-06-12,HOU,CHW,Framber Valdez,10.91,12
2025-06-13,MIL,STL,Freddy Peralta,6.22,6
2025-06-13,BOS,NYY,Garrett Crochet,9.72,7
2025-06-13,CLE,SEA,Gavin Williams,3.99,1
2025-06-13,COL,ATL,Germán Márquez,5.6,7
2025-06-10,ATL,MIL,Grant Holmes,7.65,9
2025-06-10,NYM,WSN,Griffin Canning,5.18,4
2025-06-12,SFG,COL,Hayden Birdsong,5.49,6
2025-06-11,ATH,LAA,JP Sears,5.13,9
2025-06-13,LAA,BAL,Jack Kochanowicz,3.47,2
2025-06-11,TEX,MIN,Jack Leiter,5.09,3
2025-06-11,WSN,NYM,Jake Irvin,2.44,4
2025-06-12,CHC,PIT,Jameson Taillon,4.79,7
2025-06-09,MIA,PIT,Janson Junk,3.72,1
2025-06-09,ATH,LAA,Jeffrey Springs,5.82,8
2025-06-11,PHI,CHC,Jesús Luzardo,4.99,10
2025-06-09,TOR,STL,José Berríos,2.04,1
2025-06-10,LAA,ATH,José Soriano,6.29,12
2025-06-13,LAD,SFG,Justin Wrobleski,5.13,5
2025-06-13,DET,CIN,Keider Montero,3.46,4
2025-06-13,TOR,PHI,Kevin Gausman,6.69,7
2025-06-12,NYM,WSN,Kodai Senga,6.12,5
2025-06-11,KCR,NYY,Kris Bubic,4.93,3
2025-06-11,COL,SFG,Kyle Freeland,4.94,5
2025-06-10,SFG,COL,Kyle Harrison,4.92,6
2025-06-11,LAA,ATH,Kyle Hendricks,2.69,3
2025-06-10,HOU,CHW,Lance McCullers Jr.,6.66,6
2025-06-11,CLE,CIN,Logan Allen,3.47,6
2025-06-13,SFG,LAD,Logan Webb,6.66,4
2025-06-10,BOS,TBR,Lucas Giolito,2.72,4
2025-06-13,SEA,CLE,Luis Castillo,6.02,7
