date,team,opponent,home,starting_pitcher,opponent_pitcher,predicted_runs
2025-06-11,PIT,MIA,1,Bailey Falter,Cal Quantrill,3.84
2025-06-11,MIA,PIT,0,Cal Quantrill,Bailey Falter,2.09
2025-06-11,CLE,CIN,1,Logan Allen,Nick Lodolo,1.49
2025-06-11,CIN,CLE,0,Nick Lodolo,Logan Allen,3.27
2025-06-11,MIL,ATL,1,Chad Patrick,Spencer Schwellenbach,2.13
2025-06-11,ATL,MIL,0,Spencer Schwellenbach,Chad Patrick,1.42
2025-06-11,STL,TOR,1,Matthew Liberatore,Eric Lauer,5.74
2025-06-11,TOR,STL,0,Eric Lauer,Matthew Liberatore,6.11
2025-06-11,LAA,ATH,1,Kyle Hendricks,JP Sears,1.77
2025-06-11,ATH,LAA,0,JP Sears,Kyle Hendricks,2.17
2025-06-11,BAL,DET,1,Zach Eflin,Casey Mize,3.38
2025-06-11,DET,BAL,0,Casey Mize,Zach Eflin,2.47
2025-06-11,MIN,TEX,1,David Festa,Jack Leiter,2.27
2025-06-11,TEX,MIN,0,Jack Leiter,David Festa,5.14
2025-06-11,HOU,CHW,1,Ryan Gusto,Sean Burke,2.31
2025-06-11,CHW,HOU,0,Sean Burke,Ryan Gusto,7.73
2025-06-12,MIN,TEX,1,Bailey Ober,Patrick Corbin,2.59
2025-06-12,TEX,MIN,0,Patrick Corbin,Bailey Ober,2.18
2025-06-12,BAL,DET,1,Dean Kremer,Tarik Skubal,2.18
2025-06-12,DET,BAL,0,Tarik Skubal,Dean Kremer,3.71
2025-06-12,CHC,PIT,1,Jameson Taillon,Andrew Heaney,2.89
2025-06-12,PIT,CHC,0,Andrew Heaney,Jameson Taillon,3.21
2025-06-12,HOU,CHW,1,Framber Valdez,Davis Martin,2.2
2025-06-12,CHW,HOU,0,Davis Martin,Framber Valdez,2.46
2025-06-13,CHC,PIT,1,Cade Horton,Paul Skenes,4.61
2025-06-13,PIT,CHC,0,Paul Skenes,Cade Horton,4.77
2025-06-13,BAL,LAA,1,Charlie Morton,Jack Kochanowicz,2.19
2025-06-13,LAA,BAL,0,Jack Kochanowicz,Charlie Morton,2.25
2025-06-13,DET,CIN,1,Keider Montero,Nick Martinez,3.2
2025-06-13,CIN,DET,0,Nick Martinez,Keider Montero,1.92
2025-06-13,BOS,NYY,1,Garrett Crochet,Ryan Yarbrough,5.61
2025-06-13,NYY,BOS,0,Ryan Yarbrough,Garrett Crochet,5.02
2025-06-13,TEX,CHW,1,Jacob deGrom,Adrian Houser,1.94
2025-06-13,CHW,TEX,0,Adrian Houser,Jacob deGrom,2.33
2025-06-13,HOU,MIN,1,Colton Gordon,Chris Paddack,1.68
2025-06-13,MIN,HOU,0,Chris Paddack,Colton Gordon,2.81
2025-06-13,MIL,STL,1,Freddy Peralta,Erick Fedde,3.07
2025-06-13,STL,MIL,0,Erick Fedde,Freddy Peralta,2.82
2025-06-13,SEA,CLE,1,Luis Castillo,Gavin Williams,1.36
2025-06-13,CLE,SEA,0,Gavin Williams,Luis Castillo,1.9
